p[bar],phi
74.1,1.005409310003732
74.2,1.0054468259691387
74.3,1.005484424554888
74.4,1.0055221057393877
74.5,1.0055598695008539
74.6,1.0055977158173102
74.7,1.005635644666589
74.8,1.0056736560263304
74.9,1.005711749873981
75.0,1.0057499261867948
75.1,1.0057881849418333
75.2,1.0058265261159631
75.3,1.0058649496858583
75.4,1.0059034556279989
75.5,1.0059420439186695
75.6,1.005980714533962
75.7,1.0060194674497716
75.8,1.0060583026417995
75.9,1.0060972200855516
76.0,1.0061362197563377
76.1,1.0061753016292712
76.2,1.0062144656792715
76.3,1.0062537118810597
76.4,1.006293040209161
76.5,1.0063324506379034
76.6,1.0063719431414182
76.7,1.0064115176936386
76.8,1.0064511742683009
76.9,1.0064909128389434
77.0,1.0065307333789062
77.1,1.0065706358613304
77.2,1.0066106202591594
77.3,1.0066506865451368
77.4,1.0066908346918089
77.5,1.0067310646715206
77.6,1.006771376456418
77.7,1.006811770018447
77.8,1.0068522453293545
77.9,1.006892802360686
78.0,1.0069334410837874
78.1,1.0069741614698031
78.2,1.0070149634896768
78.3,1.0070558471141506
78.4,1.007096812313766
78.5,1.0071378590588624
78.6,1.0071789873195764
78.7,1.0072201970658448
78.8,1.0072614882673996
78.9,1.0073028608937709
79.0,1.0073443149142876
79.1,1.007385850298073
79.2,1.00742746701405
79.3,1.007469165030936
79.4,1.0075109443172447
79.5,1.0075528048412887
79.6,1.007594746571173
79.7,1.0076367694748003
79.8,1.0076788735198687
79.9,1.0077210586738714
80.0,1.0077633249040963
80.1,1.0078056721776276
80.2,1.007848100461343
80.3,1.007890609721915
80.4,1.00793319992581
80.5,1.0079758710392903
80.6,1.0080186230284105
80.7,1.0080614558590195
80.8,1.00810436949676
80.9,1.0081473639070673
81.0,1.0081904390551704
81.1,1.008233594906093
81.2,1.0082768314246486
81.3,1.0083201485754456
81.4,1.008363546322884
81.5,1.0084070246311563
81.6,1.0084505834642477
81.7,1.0084942227859335
81.8,1.0085379425597845
81.9,1.008581742749159
82.0,1.0086256233172093
82.1,1.0086695842268782
82.2,1.0087136254409002
82.3,1.0087577469217999
82.4,1.008801948631893
82.5,1.0088462305332877
82.6,1.0088905925878795
82.7,1.0089350347573567
82.8,1.0089795570031967
82.9,1.009024159286667
83.0,1.0090688415688267
83.1,1.0091136038105217
83.2,1.0091584459723903
83.3,1.0092033680148587
83.4,1.009248369898143
83.5,1.009293451582248
83.6,1.0093386130269688
83.7,1.009383854191888
83.8,1.0094291750363775
83.9,1.009474575519599
84.0,1.0095200556005013
84.1,1.009565615237822
84.2,1.0096112543900877
84.3,1.0096569730156117
84.4,1.009702771072497
84.5,1.009748648518634
84.6,1.0097946053117002
84.7,1.0098406414091623
84.8,1.0098867567682728
84.9,1.0099329513460735
85.0,1.0099792250993922
85.1,1.0100255779848446
85.2,1.0100720099588336
85.3,1.0101185209775498
85.4,1.0101651109969696
85.5,1.010211779972856
85.6,1.0102585278607605
85.7,1.0103053546160208
85.8,1.01035226019376
85.9,1.010399244548889
86.0,1.0104463076361048
86.1,1.01049344940989
86.2,1.0105406698245152
86.3,1.0105879688340356
86.4,1.0106353463922932
86.5,1.0106828024529158
86.6,1.010730336969317
86.7,1.010777949894698
86.8,1.0108256411820427
86.9,1.0108734107841237
87.0,1.010921258653498
87.1,1.0109691847425077
87.2,1.0110171890032826
87.3,1.0110652713877355
87.4,1.011113431847566
87.5,1.0111616703342592
87.6,1.0112099867990854
87.7,1.0112583811931
87.8,1.0113068534671434
87.9,1.011355403571843
88.0,1.0114040314576087
88.1,1.011452737074638
88.2,1.011501520372912
88.3,1.011550381302197
88.4,1.011599319812046
88.5,1.011648335851795
88.6,1.0116974293705654
88.7,1.0117466003172648
88.8,1.011795848640585
88.9,1.0118451742890024
89.0,1.0118945772107786
89.1,1.0119440573539604
89.2,1.011993614666379
89.3,1.012043249095651
89.4,1.0120929605891782
89.5,1.0121427490941461
89.6,1.0121926145575262
89.7,1.0122425569260738
89.8,1.0122925761463297
89.9,1.0123426721646203
90.0,1.0123928449270565
90.1,1.0124430943795326
90.2,1.0124934204677303
90.3,1.012543823137114
90.4,1.012594302332934
90.5,1.012644858000227
90.6,1.0126954900838117
90.7,1.012746198528294
90.8,1.012796983278065
90.9,1.0128478442772995
91.0,1.012898781469958
91.1,1.0129497947997863
91.2,1.013000884210316
91.3,1.0130520496448625
91.4,1.0131032910465279
91.5,1.0131546083581984
91.6,1.0132060015225461
91.7,1.0132574704820292
91.8,1.0133090151788902
91.9,1.0133606355551577
92.0,1.0134123315526464
92.1,1.013464103112955
92.2,1.01351595017747
92.3,1.013567872687362
92.4,1.0136198705835886
92.5,1.0136719438068926
92.6,1.0137240922978037
92.7,1.0137763159966355
92.8,1.0138286148434905
92.9,1.0138809887782565
93.0,1.0139334377406062
93.1,1.0139859616700004
93.2,1.0140385605056856
93.3,1.014091234186695
93.4,1.014143982651849
93.5,1.0141968058397546
93.6,1.014249703688805
93.7,1.01430267613718
93.8,1.0143557231228488
93.9,1.014408844583566
94.0,1.0144620404568732
94.1,1.0145153106801001
94.2,1.0145686551903648
94.3,1.0146220739245717
94.4,1.0146755668194132
94.5,1.0147291338113695
94.6,1.0147827748367106
94.7,1.014836489831492
94.8,1.01489027873156
94.9,1.0149441414725473
95.0,1.0149980779898757
95.1,1.0150520882187568
95.2,1.01510617209419
95.3,1.015160329550964
95.4,1.015214560523657
95.5,1.015268864946636
95.6,1.0153232427540573
95.7,1.0153776938798678
95.8,1.0154322182578035
95.9,1.0154868158213903
96.0,1.0155414865039443
96.1,1.0155962302385722
96.2,1.0156510469581708
96.3,1.0157059365954275
96.4,1.0157608990828213
96.5,1.015815934352621
96.6,1.0158710423368875
96.7,1.0159262229674728
96.8,1.01598147617602
96.9,1.0160368018939643
97.0,1.0160922000525334
97.1,1.0161476705827466
97.2,1.0162032134154153
97.3,1.0162588284811438
97.4,1.0163145157103293
97.5,1.0163702750331611
97.6,1.016426106379623
97.7,1.016482009679491
97.8,1.0165379848623357
97.9,1.0165940318575202
98.0,1.016650150594203
98.1,1.0167063410013362
98.2,1.0167626030076673
98.3,1.0168189365417364
98.4,1.0168753415318803
98.5,1.016931817906231
98.6,1.016988365592716
98.7,1.017044984519057
98.8,1.0171016746127732
98.9,1.0171584358011794
99.0,1.017215268011387
99.1,1.0172721711703037
99.2,1.0173291452046345
99.3,1.017386190040882
99.4,1.0174433056053453
99.5,1.0175004918241217
99.6,1.017557748623107
99.7,1.017615075927994
99.8,1.0176724736642755
99.9,1.0177299417572423
100.0,1.0177874801319842
